Date,Open,High,Low,Close,Volume,date,polarity_company,polarity_company_max,subjectivity,polarity_market,polarity_market_max
2022-12-19,18288.099609375,18431.650390625,18244.55078125,18420.44921875,154800,2022-12-19,0.9372557699680328,0.9409682750701904,0.9754571616649628,0.06567964180427438,-0.9689829349517822
2022-12-20,18340.30078125,18404.900390625,18202.650390625,18385.30078125,169000,2022-12-20,-0.4011848568916321,-0.4011848568916321,0.9152693152427672,0.0149298256504095,-0.962683379650116
2022-12-21,18435.150390625,18473.349609375,18162.75,18199.099609375,187600,2022-12-21,0.0,0.0,0.5,0.008531865083069742,-0.9529771208763124
2022-12-22,18288.80078125,18318.75,18068.599609375,18127.349609375,195700,2022-12-22,0.9236952662467957,0.9236952662467957,0.9594072699546814,0.007622385777516524,-0.9648452401161194
2022-12-23,17977.650390625,18050.44921875,17779.5,17806.80078125,221500,2022-12-23,0.8999228477478027,0.9403464794158936,0.7732111215591431,-0.022228430263524845,-0.96316397190094
2022-12-26,17830.400390625,18084.099609375,17774.25,18014.599609375,176700,2022-12-26,0.0613970607519149,0.0613970607519149,0.4522464871406555,0.021229050940816174,-0.96681410074234
2022-12-27,18089.80078125,18149.25,17967.44921875,18132.30078125,214300,2022-12-27,0.8907697796821594,0.8907697796821594,0.9984971284866332,0.04446645406545092,-0.9674861431121826
2022-12-28,18084.75,18173.099609375,18068.349609375,18122.5,193900,2022-12-28,0.9388731718063354,0.939591348171234,0.935297816991806,-0.02602529909956576,-0.961678147315979
2022-12-29,18045.69921875,18229.69921875,17992.80078125,18191.0,281100,2022-12-29,-0.8675102591514587,-0.8675102591514587,0.3821094334125519,-0.000475786608641629,-0.959825336933136
2022-12-30,18259.099609375,18265.25,18080.30078125,18105.30078125,192000,2022-12-30,0.0,0.0,0.5,0.0,0.0
2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,256100,2023-01-02,0.0,0.0,0.5,0.021031716196187603,-0.9667754769325256
2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700,2023-01-03,0.8070194125175476,0.8070194125175476,0.1588524580001831,0.08589375358417457,-0.9663933515548706
2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,235200,2023-01-04,0.0,0.0,0.5,0.048778981593186624,-0.9595621824264526
2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900,2023-01-05,0.0,0.0,0.5,0.031187890539387673,-0.9585609436035156
2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200,2023-01-06,0.0,0.0,0.5,-0.03450765093972147,-0.9648840427398682
2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200,2023-01-09,0.0,0.0,0.5,0.0326889133483002,-0.9584872722625732
2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,283300,2023-01-10,0.0,0.0,0.5,0.05769256280833168,-0.9630292057991028
2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,259900,2023-01-11,0.0,0.0,0.5,0.04999348759651183,-0.964455544948578
2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800,2023-01-12,0.0,0.0,0.5,0.0036760443258423985,-0.9664501547813416
2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,256700,2023-01-13,0.0,0.0,0.5,-0.005551966426058742,-0.9644747376441956
2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200,2023-01-16,0.0,0.0,0.5,0.07917056034492914,-0.9671566486358644
2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100,2023-01-17,0.0,0.0,0.5,0.05505956976394641,-0.9639232754707336
2023-01-18,18074.30078125,18183.75,18032.44921875,18165.349609375,255800,2023-01-18,0.0,0.0,0.5,0.07714030167643122,-0.9639211297035216
2023-01-19,18119.80078125,18155.19921875,18063.75,18107.849609375,237800,2023-01-19,0.0,0.0,0.5,0.0817730691283941,-0.9635281562805176
2023-01-20,18115.599609375,18145.44921875,18016.19921875,18027.650390625,237200,2023-01-20,0.0,0.0,0.5,0.03444069474674412,-0.9654422402381896
2023-01-23,18118.44921875,18162.599609375,18063.44921875,18118.55078125,202500,2023-01-23,0.0,0.0,0.5,0.038272495177097424,-0.9679697155952454
2023-01-24,18183.94921875,18201.25,18078.650390625,18118.30078125,216900,2023-01-24,0.9020849466323853,0.9020849466323853,0.849858820438385,0.042138156271107306,-0.967356264591217
2023-01-25,18093.349609375,18100.599609375,17846.150390625,17891.94921875,257200,2023-01-25,-0.8547231554985046,-0.8547231554985046,0.9746404886245728,0.007682120826971306,-0.9649952054023744
2023-01-27,17877.19921875,17884.75,17493.55078125,17604.349609375,476300,2023-01-27,0.0,0.0,0.5,0.015137487294010593,-0.9683531522750854
2023-01-30,17541.94921875,17709.150390625,17405.55078125,17648.94921875,432400,2023-01-30,-0.4720948934555053,-0.4720948934555053,0.4098908305168152,0.0,0.0
2023-01-31,17731.44921875,17735.69921875,17537.55078125,17662.150390625,398300,2023-01-31,0.0,0.0,0.5,0.0,0.0
2023-02-01,17811.599609375,17972.19921875,17353.400390625,17616.30078125,512900,2023-02-01,0.0,0.0,0.5,0.17214735895556896,-0.9672359824180604
2023-02-02,17517.099609375,17653.900390625,17445.94921875,17610.400390625,490100,2023-02-02,0.6432423684746027,0.9387648105621338,0.524636160582304,0.11934017857915723,-0.9661753177642822
2023-02-03,17721.75,17870.30078125,17584.19921875,17854.05078125,424100,2023-02-03,0.0,0.0,0.5,0.054772369222671015,-0.9666013717651368
2023-02-06,17818.55078125,17823.69921875,17698.349609375,17764.599609375,282500,2023-02-06,-0.15647670626640314,-0.9508480429649352,0.9000642597675323,0.039617442769076416,-0.9651556015014648
2023-02-07,17790.099609375,17811.150390625,17652.55078125,17721.5,354400,2023-02-07,-0.013678640127182007,-0.9614327549934388,0.3053098237141966,0.0575422194399087,-0.9647500514984132
2023-02-08,17750.30078125,17898.69921875,17744.150390625,17871.69921875,291000,2023-02-08,0.0,0.0,0.5,0.10235279183446738,-0.9657516479492188
2023-02-09,17885.5,17916.900390625,17779.80078125,17893.44921875,260900,2023-02-09,0.0,0.0,0.5,0.06457641820685521,-0.967021644115448
2023-02-10,17847.55078125,17876.94921875,17801.0,17856.5,232000,2023-02-10,0.0,0.0,0.5,-0.007864781114914577,-0.967311680316925
2023-02-13,17859.099609375,17880.69921875,17719.75,17770.900390625,231300,2023-02-13,-0.9085114598274232,-0.9085114598274232,0.578714907169342,0.06239709802273961,-0.9633392691612244
2023-02-14,17840.349609375,17954.55078125,17800.05078125,17929.849609375,244500,2023-02-14,0.301728864510854,-0.9669229984283448,0.9086660941441854,0.046123278036109,-0.9632433652877808
2023-02-15,17896.599609375,18034.099609375,17853.80078125,18015.849609375,229300,2023-02-15,0.0,0.0,0.5,0.1141658247573169,-0.9646079540252686
2023-02-16,18094.75,18134.75,18000.650390625,18035.849609375,230200,2023-02-16,0.0,0.0,0.5,0.08302167632421592,-0.9602113962173462
2023-02-17,17974.849609375,18034.25,17884.599609375,17944.19921875,208100,2023-02-17,0.0,0.0,0.5,0.054327794443577736,-0.9684791564941406
2023-02-20,17965.55078125,18004.349609375,17818.400390625,17844.599609375,174600,2023-02-20,0.0,0.0,0.5,-0.03162360166836727,-0.9666889309883118
2023-02-21,17905.80078125,17924.900390625,17800.30078125,17826.69921875,198200,2023-02-21,0.0,0.0,0.5,0.036195533499495114,-0.9640488624572754
2023-02-22,17755.349609375,17772.5,17529.44921875,17554.30078125,204000,2023-02-22,0.0,0.0,0.5,0.014026075773967023,-0.9656490087509156
2023-02-23,17574.650390625,17620.05078125,17455.400390625,17511.25,240800,2023-02-23,0.0,0.0,0.5,0.051419861533523466,-0.9610564708709716
2023-02-24,17591.349609375,17599.75,17421.80078125,17465.80078125,209400,2023-02-24,0.0,0.0,0.5,0.05127692125437065,-0.967474639415741
2023-02-27,17428.599609375,17451.599609375,17299.0,17392.69921875,246400,2023-02-27,0.0,0.0,0.5,0.0,0.0
2023-02-28,17383.25,17440.44921875,17255.19921875,17303.94921875,420900,2023-02-28,0.0,0.0,0.5,0.0,0.0
2023-03-01,17360.099609375,17467.75,17345.25,17450.900390625,272900,2023-03-01,0.0,0.0,0.5,0.09596329608133859,-0.9661386013031006
2023-03-02,17421.5,17445.80078125,17306.0,17321.900390625,310700,2023-03-02,0.0,0.0,0.5,0.02585233276929322,-0.966550350189209
